Group,Feature
347,t_500_weekave_southern_canada_pc3
347,h_500_weekave_southern_canada_pc3
347,ts_weekave_southern_canada_pc3
347,h_500_weekave_conus_mean
347,t_500_weekave_conus_mean
347,t_850_weekave_conus_mean
347,ts_weekave_conus_mean
347,t_500_weekave_conus_pc1
347,h_500_weekave_conus_pc2
348,t_850_weekave_mexico_gulf_pc2
348,h_500_weekave_mexico_gulf_pc1
348,t_500_weekave_mexico_gulf_pc1
348,ts_weekave_mexico_gulf_pc1
348,ts_weekave_mexico_gulf_mean
348,t_500_weekave_mexico_gulf_pc2
348,h_500_weekave_mexico_gulf_mean
348,t_500_weekave_conus_pc3
348,SW_current_week
348,ts_weekave_conus_pc3
348,t_850_weekave_conus_pc3
349,h_850_weekave_mexico_gulf_pc5
349,slp_weekave_mexico_gulf_pc5
350,slp_weekave_mexico_gulf_pc9
350,h_850_weekave_conus_pc7
350,slp_weekave_conus_pc7
351,h_500_weekave_mexico_gulf_pc7
