Region,Horizon,Feature,Importance
W,1,t_850_weekave_southern_canada_pc4,-0.001630567152380665
W,1,ts_weekave_arctic_pc4,0.005139193094269778
W,1,ts_weekave_atlantic_ocean_pc4,-0.001085073697127618
W,1,ts_weekave_atlantic_trop_pc4,-0.00011449441948618855
W,1,ts_weekave_conus_pc4,-0.00969268936209679
W,1,ts_weekave_east_asia_pc4,-0.008180780329061636
W,1,ts_weekave_mexico_gulf_pc4,0.0013541314927166149
W,1,ts_weekave_pacific_ocean_pc4,0.0012061445316947565
W,1,ts_weekave_pacific_trop_pc4,-0.004438514449671368
W,1,ts_weekave_southern_canada_pc4,-0.002166236315759799
W,1,h_500_weekave_arctic_pc5,0.00023639095473472574
W,1,h_500_weekave_atlantic_ocean_pc5,0.00014200748549688668
W,1,h_500_weekave_atlantic_trop_pc5,0.005045565455098148
W,1,h_500_weekave_conus_pc5,0.0002618873417284284
W,1,h_500_weekave_east_asia_pc5,-0.00240968508970294
W,1,h_500_weekave_mexico_gulf_pc5,0.003248896252929671
W,1,h_500_weekave_pacific_ocean_pc5,-0.00405946894873237
W,1,h_500_weekave_pacific_trop_pc5,0.0020535826340079963
W,1,h_500_weekave_southern_canada_pc5,0.0031192726517356383
W,1,h_850_weekave_arctic_pc5,-0.0015607439956555188
W,1,h_850_weekave_atlantic_ocean_pc5,0.004008284244879157
W,1,h_850_weekave_atlantic_trop_pc5,0.0015330460632530555
W,1,h_850_weekave_conus_pc5,-0.0011721781110791696
W,1,h_850_weekave_east_asia_pc5,-0.0011809250956840009
W,1,h_850_weekave_mexico_gulf_pc5,-0.0018922813544062222
W,1,h_850_weekave_pacific_ocean_pc5,0.00040419891538124496
W,1,h_850_weekave_pacific_trop_pc5,0.0026943691001297823
W,1,h_850_weekave_southern_canada_pc5,-0.0009695955189688021
W,1,slp_weekave_arctic_pc5,0.0059209758016543525
W,1,slp_weekave_atlantic_ocean_pc5,0.0005712209129420979
W,1,slp_weekave_atlantic_trop_pc5,0.003926343516904396
W,1,slp_weekave_conus_pc5,-0.0010996534049294126
W,1,slp_weekave_east_asia_pc5,0.000968853087142918
W,1,slp_weekave_mexico_gulf_pc5,0.009689436579691228
W,1,slp_weekave_pacific_ocean_pc5,-0.0007479352730932476
W,1,slp_weekave_pacific_trop_pc5,0.0002005795997144529
W,1,slp_weekave_southern_canada_pc5,-0.0031423507313244354
W,1,t_500_weekave_arctic_pc5,-0.0010119488152330843
W,1,t_500_weekave_atlantic_ocean_pc5,0.003658331131510669
W,1,t_500_weekave_atlantic_trop_pc5,0.0007402349253026408
W,1,t_500_weekave_conus_pc5,-0.0009188035680499418
W,1,t_500_weekave_east_asia_pc5,0.0027510780817491328
W,1,t_500_weekave_mexico_gulf_pc5,-0.0030121381156455723
W,1,t_500_weekave_pacific_ocean_pc5,0.0011813849066850087
W,1,t_500_weekave_pacific_trop_pc5,0.004232244443799082
W,1,t_500_weekave_southern_canada_pc5,-0.00015825106768888966
W,1,t_850_weekave_arctic_pc5,0.001064459187931514
W,1,t_850_weekave_atlantic_ocean_pc5,0.0011914816773378096
W,1,t_850_weekave_atlantic_trop_pc5,-0.0001931767158504627
W,1,t_850_weekave_conus_pc5,-0.0005655160662976222
W,1,t_850_weekave_east_asia_pc5,-0.002289455848253959
W,1,t_850_weekave_mexico_gulf_pc5,0.005531227424131006
W,1,t_850_weekave_pacific_ocean_pc5,-0.001006708748533717
W,1,t_850_weekave_pacific_trop_pc5,0.0014708320845643404
W,1,t_850_weekave_southern_canada_pc5,-0.0013503581198099173
W,1,ts_weekave_arctic_pc5,-0.009009378444805686
W,1,ts_weekave_atlantic_ocean_pc5,-0.0011328185467421056
W,1,ts_weekave_atlantic_trop_pc5,0.001549357714656363
W,1,ts_weekave_conus_pc5,0.0016673074408269115
W,1,ts_weekave_east_asia_pc5,-0.009413009599867224
W,1,ts_weekave_mexico_gulf_pc5,-0.0017530419408292807
W,1,ts_weekave_pacific_ocean_pc5,-0.00023635552079213085
W,1,ts_weekave_pacific_trop_pc5,-0.0001030600816518105
W,1,ts_weekave_southern_canada_pc5,-4.339987167772582e-05
W,1,h_500_weekave_arctic_pc6,0.0013546921686911813
