Group,Mean_Importance,Std_Importance,Group_Size,Feature,Region,Horizon
276,0.0056248721856053,0.0047594712186408,5,t_850_weekave_pacific_trop_pc8,MW,1
276,0.0056248721856053,0.0047594712186408,5,t_850_weekave_east_asia_pc8,MW,1
276,0.0056248721856053,0.0047594712186408,5,t_850_weekave_mexico_gulf_pc8,MW,1
74,0.0055976433677341,0.0076955135748161,2,slp_weekave_atlantic_trop_pc2,MW,1
74,0.0055976433677341,0.0076955135748161,2,slp_weekave_conus_pc2,MW,1
292,0.0055941717667963,0.0046155788441879,8,ts_weekave_atlantic_ocean_pc9,MW,1
292,0.0055941717667963,0.0046155788441879,8,ts_weekave_atlantic_trop_pc9,MW,1
292,0.0055941717667963,0.0046155788441879,8,ts_weekave_conus_pc9,MW,1
292,0.0055941717667963,0.0046155788441879,8,ts_weekave_east_asia_pc9,MW,1
292,0.0055941717667963,0.0046155788441879,8,ts_weekave_mexico_gulf_pc9,MW,1
292,0.0055941717667963,0.0046155788441879,8,ts_weekave_pacific_ocean_pc9,MW,1
292,0.0055941717667963,0.0046155788441879,8,ts_weekave_pacific_trop_pc9,MW,1
292,0.0055941717667963,0.0046155788441879,8,ts_weekave_southern_canada_pc9,MW,1
38,0.0055684985259223,0.0029046903091492,1,ts_weekave_east_asia_mean,MW,1
343,0.005524333408606,0.0023438908241279,2,t_500_weekave_pacific_ocean_pc12,MW,1
343,0.005524333408606,0.0023438908241279,2,t_500_weekave_pacific_trop_pc12,MW,1
321,0.0053758922545648,0.0030497586296076,1,t_850_weekave_arctic_pc11,MW,1
411,0.0053424614523929,0.0106028534440355,2,h_850_weekave_atlantic_trop_pc17,MW,1
411,0.0053424614523929,0.0106028534440355,2,h_850_weekave_conus_pc17,MW,1
279,0.0052936575890497,0.0038625689495219,3,ts_weekave_conus_pc8,MW,1
279,0.0052936575890497,0.0038625689495219,3,ts_weekave_east_asia_pc8,MW,1
279,0.0052936575890497,0.0038625689495219,3,ts_weekave_mexico_gulf_pc8,MW,1
285,0.0052482692592884,0.0022248462611506,1,h_850_weekave_atlantic_trop_pc9,MW,1
169,0.005191829628009,0.0028448811555566,2,t_500_weekave_pacific_ocean_pc5,MW,1
169,0.005191829628009,0.0028448811555566,2,t_500_weekave_pacific_trop_pc5,MW,1
400,0.0050905902802897,0.0037677654130171,4,t_850_weekave_atlantic_ocean_pc16,MW,1
400,0.0050905902802897,0.0037677654130171,4,t_850_weekave_atlantic_trop_pc16,MW,1
400,0.0050905902802897,0.0037677654130171,4,t_850_weekave_conus_pc16,MW,1
400,0.0050905902802897,0.0037677654130171,4,t_850_weekave_east_asia_pc16,MW,1
263,0.0050385699631224,0.0023028076003497,2,h_850_weekave_pacific_ocean_pc8,MW,1
263,0.0050385699631224,0.0023028076003497,2,h_850_weekave_pacific_trop_pc8,MW,1
325,0.0050187454681955,0.0040307366731353,2,t_850_weekave_mexico_gulf_pc11,MW,1
325,0.0050187454681955,0.0040307366731353,2,t_850_weekave_east_asia_pc11,MW,1
477,0.004996727532325,0.0020447640860619,2,t_850_weekave_east_asia_pc18,MW,1
477,0.004996727532325,0.0020447640860619,2,t_850_weekave_mexico_gulf_pc18,MW,1
200,0.004948166086539,0.0089111269311584,1,h_850_weekave_southern_canada_pc6,MW,1
318,0.0049277522661007,0.0023769859332927,1,t_500_weekave_pacific_ocean_pc11,MW,1
264,0.0048245204104107,0.0045741274027538,2,slp_weekave_arctic_pc8,MW,1
264,0.0048245204104107,0.0045741274027538,2,h_850_weekave_southern_canada_pc8,MW,1
380,0.0047449255850137,0.002987632421475,5,ts_weekave_pacific_ocean_pc14,MW,1
380,0.0047449255850137,0.002987632421475,5,ts_weekave_mexico_gulf_pc14,MW,1
380,0.0047449255850137,0.002987632421475,5,ts_weekave_atlantic_trop_pc14,MW,1
380,0.0047449255850137,0.002987632421475,5,ts_weekave_conus_pc14,MW,1
380,0.0047449255850137,0.002987632421475,5,ts_weekave_east_asia_pc14,MW,1
314,0.0047321849982438,0.0036038173778076,4,slp_weekave_pacific_ocean_pc11,MW,1
314,0.0047321849982438,0.0036038173778076,4,slp_weekave_mexico_gulf_pc11,MW,1
314,0.0047321849982438,0.0036038173778076,4,slp_weekave_conus_pc11,MW,1
